id,industry,name,website,google_maps_url,rating,review_count,phone,email,city,state,instagram,facebook,youtube,tiktok
roofing-01,Roofing,Kidd Roofing,https://www.kiddroof.com/,,4.9,768,512-671-7791,,Austin,TX,,https://www.facebook.com/kiddroofing/,,
roofing-02,Roofing,Bold Brothers Roofing,https://www.boldbrothersroofing.com/,,5.0,127,,,Denver,CO,https://www.instagram.com/boldbrothersroofing/,https://www.facebook.com/boldbrothersroofing/,,
roofing-03,Roofing,Adamson Roofing Company,https://www.adamsonroofingcompany.com/,,4.9,110,(678) 424-1919,,Atlanta,GA,,https://www.facebook.com/adamsonroofingcompany/,,
roofing-04,Roofing,Gibson Roofing,https://gibsonroofing.com/,,4.9,105,503-690-7663,info@gibsonroofing.com,Portland,OR,,https://www.facebook.com/GibsonRoofing/,,
roofing-05,Roofing,Best Roofing Now,https://www.bestroofingnow.com/,,5.0,64,(704) 605-6047,,Charlotte,NC,,https://www.facebook.com/bestroofingnowllc/,,
roofing-06,Roofing,Owl Roofing,https://owlroofing.com/,,5.0,,651-977-6027,info@owlroofing.com,Minneapolis,MN,https://www.instagram.com/owlroofing/,https://www.facebook.com/p/Owl-Roofing-61581166006799/,,https://www.tiktok.com/@owlroofing
roofing-07,Roofing,Lyons Roofing,https://lyonsroofing.com/,,4.8,691,602-638-3135,apepper@lyonsroofing.com,Phoenix,AZ,,https://www.facebook.com/LyonsRoofingA/,,
roofing-08,Roofing,Bill Ragan Roofing Company,https://www.billraganroofing.com/,,4.9,206,(615) 242-0333,,Nashville,TN,,https://www.facebook.com/billraganroofingnashville/,,
roofing-09,Roofing,Ace Roofing,https://roofingace.com/,,,,(614) 457-1111,,Columbus,OH,,https://www.facebook.com/aceroofing.columbusohio/,,
roofing-10,Roofing,Straight Line Roofing & Construction,https://www.straightlineconstruction.com/,,4.9,624,916-985-9995,office@straightlineconstruction.com,Sacramento,CA,,https://www.facebook.com/StraightLineRoofingandConstruction/,,
hvac-01,HVAC,Carter Comfort Systems,https://www.cartercomfort.com/,,5.0,300,(208) 739-4181,john@cartercomfort.com,Caldwell,ID,,https://www.facebook.com/cartercomfort/,,
hvac-02,HVAC,River City Heating & Air,https://rivercityheatingair.com/,,4.7,240,(804) 674-9300,,Richmond,VA,,https://www.facebook.com/p/River-City-Heating-Air-100089784925955/,,
hvac-03,HVAC,Advantage Air Mechanical,https://www.advantageairmechanical.com/,,4.5,,(520) 792-9400,Office@AdvantageAirMechanical.com,Tucson,AZ,,https://www.facebook.com/AdvantageAirMechanical/,,
hvac-04,HVAC,Harker Heating & Cooling,https://www.harkerheating.com/,,4.9,1736,(608) 255-6902,info@harkerheating.com,Madison,WI,https://www.instagram.com/harkerheatingandcooling/,https://www.facebook.com/HarkerHeating/,,
hvac-05,HVAC,Horizon Homes,https://horizonmaine.com/,,4.9,,207-221-3221,,Westbrook,ME,,https://www.facebook.com/horizonmaine/,,
remodeling-01,Remodeling,Catalyst Construction & Kitchen Remodeling,https://www.catalystconstructionpdx.com/,,,,(503) 914-9146,,Portland,OR,https://www.instagram.com/catalystconstructionpdx/,https://www.facebook.com/CatalystConstructionPDX/,,
remodeling-02,Remodeling,New Creations Custom Kitchen and Bath,https://newcreationsaustin.com/,,,,(512) 963-9043,,Austin,TX,https://www.instagram.com/newcreationsaustin/,https://www.facebook.com/newcreationsaustin/,,
remodeling-03,Remodeling,Carolina Home Remodeling,https://www.carolinahomeremodeling.com/,,,,(704) 714-1257,info@carolinahomeremodeling.com,Charlotte,NC,,https://www.facebook.com/carolinahomeremodeling1/,,
remodeling-04,Remodeling,Mark Hammer Construction LTD,https://mhammerconstruction.com/,,,,(303) 895-9073,,Denver,CO,,https://www.facebook.com/MarkHammerConstructionServices/,,
remodeling-05,Remodeling,Crystal Kitchen + Bath,https://crystalkitchen.com/,,4.9,47,763-544-5950,,Minneapolis,MN,https://www.instagram.com/crystalkitchenbath/,,,
